#  Time  	               Q 	
0 	              -0
60.020611 	       7.4948403
120.04093 	       9.9963447
180.01021 	       12.495431
240.05656 	       14.997636
300.02242 	       17.496405
360.04351 	       19.997451
420.04071 	       22.497483
480.01922 	       24.996707
540.06918 	       27.499565
600.00024 	       29.996136
660.07038 	       41.996948
720.00185 	       53.984463
780.04647 	       65.994445
840.01164 	       77.988414
900.03139 	         89.9931
960.04476 	       101.99638
1020.0439 	        113.9966
1080.0457 	       125.99731
1140.0123 	       137.99095
1200.015 	       149.99146
1260.0235 	       166.99101
1320.0426 	       183.99682
1380.0183 	       200.99031
1440.0109 	       217.98854
1500.0381 	       234.99653
1560.0076 	        251.9882
1620.0403 	        268.9978
1680.021 	       285.99256
1740.0117 	       302.99015
1800.0445 	       319.99952
1860.0405 	        300.0018
1920.0079 	       280.01294
1980 	       260.01584
2040.0401 	       240.00275
2100.0038 	       220.00695
2160.0055 	       200.00882
2220.0215 	       180.00823
2280.0004 	       160.01486
2340.0086 	       140.01186
2400.0423 	       120.00038
2460.0062 	       113.00347
2520.0255 	       106.00006
2580.0295 	        99.00076
2640.0255 	       92.001048
2700.0322 	       85.000541
2760.012 	       78.002603
2820.0205 	       71.001969
2880.0071 	       64.002294
2940.0234 	       57.001936
3000.0172 	       50.003043
3060.0177 	        47.00132
3120.0073 	       44.001896
3180.0217 	       41.001243
3240.0271 	       38.001047
3300.0215 	       35.001407
3360.0363 	       32.000713
3420.0333 	       29.000958
3480.0175 	       26.001818
3540.0343 	       23.001017
3600.0308 	         20.0007
