#  Time  	               Q 	
0 	               0
60.020611 	               0
120.04093 	               0
180.01021 	               0
240.05656 	               0
300.02242 	               0
360.04351 	               0
420.04071 	               0
480.01922 	               0
540.06918 	               0
600.00024 	               0
660.07038 	               0
720.00185 	               0
780.04647 	               0
840.01164 	               0
900.03139 	               0
960.04476 	               0
1020.0439 	               0
1080.0457 	               0
1140.0123 	               0
1200.015 	               0
1260.0235 	               0
1320.0426 	               0
1380.0183 	               0
1440.0109 	               0
1500.0381 	               0
1560.0076 	               0
1620.0403 	               0
1680.021 	               0
1740.0117 	               0
1800.0445 	               0
1860.0405 	               0
1920.0079 	               0
1980 	               0
2040.0401 	       49.510543
2100.0038 	       109.64085
2160.0055 	       132.06409
2220.0215 	       138.69935
2280.0004 	        176.0758
2340.0086 	       201.99563
2400.0423 	       148.03485
2460.0062 	       214.34152
2520.0255 	       231.08938
2580.0295 	       208.34277
2640.0255 	       206.31475
2700.0322 	       299.12536
2760.012 	        264.9116
2820.0205 	       311.30482
2880.0071 	         286.832
2940.0234 	       230.27476
3000.0172 	       234.55583
3060.0177 	       225.87352
3120.0073 	       234.20461
3180.0217 	       196.30351
3240.0271 	       159.96438
3300.0215 	       141.54192
3360.0363 	       140.05782
3420.0333 	       113.50732
3480.0175 	       134.63922
3540.0343 	       120.07543
3600.0308 	       112.07042
